,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
913,Leviathan,2014,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",R,Crime Drama,['140 min'],140,"51,410",$1.09M,7.6,92
914,Hell or High Water,II 2016,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,R,Action Crime Drama,['102 min'],102,"214,060",$26.86M,7.6,88
915,Philomena,2013,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",PG-13,Biography Comedy Drama,['98 min'],98,"96,981",$37.71M,7.6,77
916,The Body,2012,A detective searches for the body of a femme fatale which has gone missing from a morgue.,112 min,Mystery Thriller,"['Mystery', 'Thriller']",112,"61,696",*****,7.6,^^^^^^
917,The Raid: Redemption,2011,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,R,Action Thriller,['101 min'],101,"196,815",$4.11M,7.6,73
918,End of Watch,2012,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",R,Action Adventure Crime,['109 min'],109,"235,454",$41.00M,7.6,68
919,A Star Is Born,2018,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,R,Drama Music Romance,['136 min'],136,"355,366",$215.29M,7.6,88
920,True Grit,2010,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,PG-13,Drama Western,['110 min'],110,"323,004",$171.24M,7.6,80
921,In a Better World,2010,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",R,Drama Romance,['118 min'],118,"39,374",$1.01M,7.6,65
922,Despicable Me,2010,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",PG,Animation Adventure Comedy,['95 min'],95,"516,785",$251.51M,7.6,72
923,50/50,2011,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",R,Comedy Drama Romance,['100 min'],100,"322,049",$35.01M,7.6,72
924,Celda 211,2009,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",113 min,Action Adventure Crime,"['Action', 'Adventure', 'Crime']",113,"65,729",*****,7.6,^^^^^^
925,Moneyball,2011,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,PG-13,Biography Drama Sport,['133 min'],133,"390,878",$75.61M,7.6,87
926,The Skin I Live In,2011,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",R,Drama Horror Thriller,['120 min'],120,"144,954",$3.19M,7.6,70
927,Zombieland,2009,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",R,Adventure Comedy Fantasy,['88 min'],88,"541,225",$75.59M,7.6,73
928,The Wave,2008,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Not Rated,Drama Thriller,['107 min'],107,"105,714",*****,7.6,^^^^^^
929,Sherlock Holmes,2009,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,PG-13,Action Adventure Mystery,['128 min'],128,"602,315",$209.03M,7.6,57
930,The Blind Side,2009,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",PG-13,Biography Drama Sport,['129 min'],129,"307,100",$255.96M,7.6,53
931,The Visitor,I 2007,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,PG-13,Drama,['104 min'],104,"42,461",$9.42M,7.6,79
932,Seven Pounds,2008,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,PG-13,Drama,['123 min'],123,"293,612",$69.95M,7.6,36
933,Eastern Promises,2007,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,R,Action Crime Drama,['100 min'],100,"234,417",$17.11M,7.6,82
934,Death Note,2006,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",Not Rated,Crime Drama Fantasy,['126 min'],126,"29,609",*****,7.6,^^^^^^
935,Stardust,2007,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",PG-13,Adventure Family Fantasy,['127 min'],127,"262,500",$38.63M,7.6,66
936,The Secret of Kells,2009,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Not Rated,Animation Adventure Family,['75 min'],75,"33,770",$0.69M,7.6,81
937,Inside Man,2006,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",R,Crime Drama Mystery,['129 min'],129,"353,821",$88.51M,7.6,76
938,Gone Baby Gone,2007,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",R,Crime Drama Mystery,['114 min'],114,"261,985",$20.30M,7.6,72
939,La Vie En Rose,2007,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",PG-13,Biography Drama Music,['140 min'],140,"84,828",$10.30M,7.6,66
940,Dead Man's Shoes,2004,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Not Rated,Crime Drama Thriller,['90 min'],90,"51,583",$0.01M,7.6,52
941,Harry Potter and the Half-Blood Prince,2009,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",PG,Action Adventure Family,['153 min'],153,"498,946",$301.96M,7.6,78
942,300,2006,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,R,Action Drama,['117 min'],117,"756,676",$210.61M,7.6,52
943,Match Point,2005,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",R,Drama Romance Thriller,['124 min'],124,"211,771",$23.09M,7.6,72
944,Watchmen,2009,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",R,Action Drama Mystery,['162 min'],162,"525,835",$107.51M,7.6,56
945,Saw,2004,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",R,Horror Mystery Thriller,['103 min'],103,"396,445",$56.00M,7.6,46
946,Mysterious Skin,2004,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Unrated,Drama,['105 min'],105,"67,514",$0.70M,7.6,73
947,A Very Long Engagement,2004,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",R,Drama Mystery Romance,['133 min'],133,"72,239",$6.17M,7.6,76
948,The Station Agent,2003,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",R,Comedy Drama,['89 min'],89,"68,895",$5.74M,7.6,81
949,21 Grams,2003,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",R,Crime Drama Thriller,['124 min'],124,"230,527",$16.29M,7.6,70
950,Sympathy for Mr. Vengeance,2002,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",R,Crime Drama Thriller,['129 min'],129,"65,565",$0.05M,7.6,56
951,25th Hour,2002,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",R,Drama,['135 min'],135,"174,616",$13.06M,7.6,68
952,The Butterfly Effect,2004,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",R,Drama Sci-Fi Thriller,['113 min'],113,"466,140",$57.94M,7.6,30
953,I Am Sam,2001,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,PG-13,Drama,['132 min'],132,"146,612",$40.31M,7.6,28
954,Battle Royale,2000,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Not Rated,Action Adventure Drama,['114 min'],114,"174,655",*****,7.6,81
955,The Royal Tenenbaums,2001,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,R,Comedy Drama,['110 min'],110,"276,408",$52.36M,7.6,76
956,Y Tu Mamá También,2001,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",R,Drama,['106 min'],106,"119,261",$13.62M,7.6,88
957,Harry Potter and the Sorcerer's Stone,2001,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",PG,Adventure Family Fantasy,['152 min'],152,"697,924",$317.58M,7.6,64
958,The Others,2001,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,PG-13,Horror Mystery Thriller,['104 min'],104,"350,533",$96.52M,7.6,74
959,Minority Report,2002,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",PG-13,Action Crime Mystery,['145 min'],145,"526,143",$132.07M,7.6,80
960,American Psycho,2000,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",R,Comedy Crime Drama,['101 min'],101,"524,645",$15.07M,7.6,64
961,The Thin Red Line,1998,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",R,Drama History War,['170 min'],170,"180,036",$36.40M,7.6,78
962,Mulan,1998,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",G,Animation Adventure Drama,['88 min'],88,"268,437",$120.62M,7.6,71
963,Fear and Loathing in Las Vegas,1998,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,R,Adventure Comedy Drama,['118 min'],118,"268,469",$10.68M,7.6,41
964,Dark City,1998,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",R,Fantasy Mystery Sci-Fi,['100 min'],100,"193,492",$14.38M,7.6,66
965,Lost Highway,1997,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",R,Mystery Thriller,['134 min'],134,"136,202",$3.80M,7.6,52
966,Die Hard with a Vengeance,1995,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",R,Action Adventure Thriller,['128 min'],128,"373,267",$100.01M,7.6,58
